Action;Custom label (SKU);Category ID;Category Name;Title;Subtitle;P:EAN;Start price;Quantity;Item photo URL;Condition ID;Condition description;Description;Format;Duration;Location;Country;Postal code;Shipping profile name;Return profile name;Payment profile name;Brand;Manufacturer;MPN;Model;Product type;Sold item name;Compatible brand;Compatible device;Compatible model number;Color;Material;Type;Unit quantity;Unit type;Item specifics
Add;TEST-001;;Cartes mères pour ordinateurs portables;Carte mère MacBook Pro 16 A2141 820-01779-A;;;189.99;1;;3000;Occasion;Carte mère d'origine testée, référence 820-01779-A.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;Apple;820-01779-A;A2141;Logic Board;Logic Board;Apple;MacBook Pro 16;A2141;Green;PCB;Logic Board;1;Unité;Brand=Apple|MPN=820-01779-A|Model=A2141|Type=Logic Board|Color=Green
Add;TEST-002;;Écrans LCD pour portables;Écran LCD MacBook Air 13 A2337 Remplacement;;;129.50;1;;3000;Occasion;Dalle LCD de remplacement pour MacBook Air M1.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;;661-17578;A2337;Screen Replacement;Screen Replacement;Apple;MacBook Air 13;A2337;Noir;;LCD Panel;1;Unité;Brand=Apple|Model=A2337|Type=Screen Replacement|Color=Black
Add;TEST-003;;Batteries pour portables;Batterie MacBook Pro 15 A1707 020-00977;;;59.00;1;;3000;Occasion;Batterie compatible MacBook Pro 15 pouces Touch Bar.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;;020-00977;A1707;Battery;Battery;Apple;MacBook Pro 15;A1707;;Lithium-ion;Battery;1;Unité;Brand=Apple|MPN=020-00977|Model=A1707|Type=Battery
Add;TEST-004;;Connecteurs de charge;Connecteur port charge USB-C MacBook Pro A1990;;;24.90;1;;3000;Occasion;Connecteur de charge USB-C avec nappe incluse.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;;820-00850-A;A1990;Charging Port;Charging Port;Apple;MacBook Pro 13;A1990;;;USB-C Port;1;Unité;Brand=Apple|MPN=820-00850-A|Type=Charging Port|Model=A1990
Add;TEST-005;;Nappes flex;Nappe flex trackpad MacBook Pro 13 A1708;;;14.50;1;;3000;Occasion;Nappe flex pour trackpad MacBook Pro 13 2016-2017.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;;821-01021-A;A1708;Flex Cable;Flex Cable;Apple;MacBook Pro 13;A1708;;;Flex Cable;1;Unité;Brand=Apple|MPN=821-01021-A|Type=Flex Cable
Add;TEST-006;;Caméras portables;Caméra FaceTime MacBook Air A2179;;;19.99;1;;3000;Occasion;Module caméra FaceTime HD d'origine.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;;821-02106;A2179;Camera;Camera Module;Apple;MacBook Air 13;A2179;;;Webcam;1;Unité;Brand=Apple|Model=A2179|Type=Camera
Add;TEST-007;;Haut-parleurs portables;Haut-parleurs MacBook Pro 16 A2141 paire;;;34.00;1;;3000;Occasion;Paire de haut-parleurs gauche et droite.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;;923-04201;A2141;Speaker;Speaker Set;Apple;MacBook Pro 16;A2141;;;Speaker;1;Unité;Brand=Apple|Model=A2141|Type=Speaker
Add;TEST-008;;Claviers portables;Clavier AZERTY MacBook Pro 14 A2442;;;89.00;1;;3000;Occasion;Clavier rétroéclairé AZERTY avec Touch ID.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;;661-25830;A2442;Keyboard;Keyboard;Apple;MacBook Pro 14;A2442;Noir;;Keyboard;1;Unité;Brand=Apple|Model=A2442|Type=Keyboard|Color=Black
Add;TEST-009;;Trackpads;Trackpad Force Touch MacBook Pro 13 A2289;;;45.00;1;;3000;Occasion;Trackpad Force Touch gris sidéral.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;;661-15729;A2289;Trackpad;Trackpad;Apple;MacBook Pro 13;A2289;Gris sidéral;;Trackpad;1;Unité;Brand=Apple|Model=A2289|Type=Trackpad
Add;TEST-010;;Ventilateurs portables;Ventilateur gauche MacBook Pro 15 A1707;;;22.50;1;;3000;Occasion;Ventilateur de refroidissement côté gauche.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;;923-01314;A1707;Fan;Cooling Fan;Apple;MacBook Pro 15;A1707;;;Fan;1;Unité;Brand=Apple|Model=A1707|Type=Fan
